recording;score
Itgo4T2_20220206_050000.wav;0.232317597
Itgo4T2_20220205_221000.wav;0.232322754
Itgo4T2_20220208_012000.wav;0.232343566
Itgo4T2_20220207_025000.wav;0.232346835
Itgo4T2_20220201_022000.wav;0.232362098
Itgo4T2_20220205_055000.wav;0.232364551
Itgo4T2_20220206_041000.wav;0.232382839
Itgo4T2_20220207_222000.wav;0.232395802
Itgo4T2_20220207_214000.wav;0.232410463
Itgo4T2_20220207_192000.wav;0.232416792
Itgo4T2_20220201_043000.wav;0.232423866
Itgo4T2_20220201_211000.wav;0.232429164
Itgo4T2_20220201_034000.wav;0.232463143
Itgo4T2_20220206_211000.wav;0.232507621
Itgo4T2_20220203_042000.wav;0.232528551
Itgo4T2_20220202_051000.wav;0.232530349
Itgo4T2_20220207_180000.wav;0.232534941
Itgo4T2_20220201_194000.wav;0.232543529
Itgo4T2_20220208_233000.wav;0.232544576
Itgo4T2_20220208_204000.wav;0.232554185
Itgo4T2_20220131_050000.wav;0.232558698
Itgo4T2_20220202_224000.wav;0.232567152
Itgo4T2_20220204_033000.wav;0.232580966
Itgo4T2_20220207_181000.wav;0.232584777
Itgo4T2_20220206_032000.wav;0.232585163
Itgo4T2_20220206_222000.wav;0.232600023
Itgo4T2_20220204_013000.wav;0.232600848
Itgo4T2_20220207_001000.wav;0.232601338
Itgo4T2_20220201_042000.wav;0.232601784
Itgo4T2_20220208_001000.wav;0.232616046
Itgo4T2_20220202_004000.wav;0.232638573
Itgo4T2_20220204_010000.wav;0.232641765
Itgo4T2_20220208_024000.wav;0.232646402
Itgo4T2_20220206_001000.wav;0.232653414
Itgo4T2_20220202_200000.wav;0.232654177
Itgo4T2_20220209_022000.wav;0.232668582
Itgo4T2_20220203_033000.wav;0.232681795
Itgo4T2_20220201_025000.wav;0.232696454
Itgo4T2_20220205_004000.wav;0.232717945
Itgo4T2_20220206_214000.wav;0.232728075
Itgo4T2_20220207_050000.wav;0.232734884
Itgo4T2_20220209_184000.wav;0.232743951
Itgo4T2_20220204_025000.wav;0.232744144
Itgo4T2_20220131_044000.wav;0.232744255
Itgo4T2_20220205_002000.wav;0.232746751
Itgo4T2_20220131_204000.wav;0.232748001
Itgo4T2_20220207_204000.wav;0.232749091
Itgo4T2_20220209_224000.wav;0.232756437
Itgo4T2_20220206_044000.wav;0.232767323
Itgo4T2_20220202_030000.wav;0.232776089
Itgo4T2_20220205_182000.wav;0.232777575
Itgo4T2_20220208_030000.wav;0.232780774
Itgo4T2_20220205_185000.wav;0.232784514
Itgo4T2_20220201_001000.wav;0.232795852
Itgo4T2_20220208_035000.wav;0.232818179
Itgo4T2_20220201_032000.wav;0.232820176
Itgo4T2_20220205_045000.wav;0.232832431
Itgo4T2_20220206_054000.wav;0.232847268
Itgo4T2_20220208_224000.wav;0.232854408
Itgo4T2_20220209_004000.wav;0.232856556
Itgo4T2_20220205_235000.wav;0.232857972
Itgo4T2_20220201_222000.wav;0.232862508
Itgo4T2_20220131_003000.wav;0.232865707
Itgo4T2_20220201_044000.wav;0.232869411
Itgo4T2_20220205_040000.wav;0.232872368
Itgo4T2_20220204_005000.wav;0.232873592
Itgo4T2_20220206_210000.wav;0.232881972
Itgo4T2_20220204_205000.wav;0.232894296
Itgo4T2_20220203_015000.wav;0.232909475
Itgo4T2_20220209_193000.wav;0.232918049
Itgo4T2_20220208_020000.wav;0.232921844
Itgo4T2_20220201_203000.wav;0.232932761
Itgo4T2_20220205_195000.wav;0.232941843
Itgo4T2_20220208_033000.wav;0.232944801
Itgo4T2_20220202_003000.wav;0.232964112
Itgo4T2_20220209_032000.wav;0.232966546
Itgo4T2_20220206_234000.wav;0.232979145
Itgo4T2_20220207_235000.wav;0.232980866
Itgo4T2_20220204_044000.wav;0.232985735
Itgo4T2_20220204_213000.wav;0.23298768
Itgo4T2_20220203_020000.wav;0.23298848
Itgo4T2_20220207_005000.wav;0.233004414
Itgo4T2_20220203_201000.wav;0.23303399
Itgo4T2_20220206_003000.wav;0.233036355
Itgo4T2_20220201_023000.wav;0.233052794
Itgo4T2_20220207_194000.wav;0.233055831
Itgo4T2_20220201_054000.wav;0.23308447
Itgo4T2_20220206_233000.wav;0.233113813
Itgo4T2_20220206_223000.wav;0.233139041
Itgo4T2_20220209_030000.wav;0.233141132
Itgo4T2_20220208_013000.wav;0.233146314
Itgo4T2_20220209_050000.wav;0.233175818
Itgo4T2_20220201_002000.wav;0.233188436
Itgo4T2_20220131_025000.wav;0.233207432
Itgo4T2_20220205_035000.wav;0.233207836
Itgo4T2_20220208_045000.wav;0.233212286
Itgo4T2_20220205_211000.wav;0.233212894
Itgo4T2_20220208_022000.wav;0.233222255
Itgo4T2_20220206_181000.wav;0.233225689
Itgo4T2_20220131_225000.wav;0.233225866
Itgo4T2_20220203_235000.wav;0.233247904
Itgo4T2_20220201_210000.wav;0.233259974
Itgo4T2_20220209_044000.wav;0.233265858
Itgo4T2_20220201_053000.wav;0.233276263
Itgo4T2_20220206_231000.wav;0.233288004
Itgo4T2_20220131_214000.wav;0.233291763
Itgo4T2_20220209_183000.wav;0.23330796
Itgo4T2_20220204_042000.wav;0.233308212
Itgo4T2_20220207_184000.wav;0.233322661
Itgo4T2_20220201_220000.wav;0.233328655
Itgo4T2_20220206_042000.wav;0.233330514
Itgo4T2_20220209_012000.wav;0.233341947
Itgo4T2_20220209_001000.wav;0.233365909
Itgo4T2_20220202_033000.wav;0.233373815
Itgo4T2_20220205_194000.wav;0.233376287
Itgo4T2_20220203_043000.wav;0.233381908
Itgo4T2_20220131_233000.wav;0.23338341
Itgo4T2_20220207_011000.wav;0.233392176
Itgo4T2_20220202_014000.wav;0.233397253
Itgo4T2_20220131_191000.wav;0.233404965
Itgo4T2_20220209_180000.wav;0.23341725
Itgo4T2_20220205_032000.wav;0.233426639
Itgo4T2_20220208_192000.wav;0.233450373
Itgo4T2_20220209_211000.wav;0.233453788
Itgo4T2_20220205_232000.wav;0.233455162
Itgo4T2_20220204_181000.wav;0.233485151
Itgo4T2_20220203_181000.wav;0.233496589
Itgo4T2_20220204_053000.wav;0.233498639
Itgo4T2_20220202_024000.wav;0.233514393
Itgo4T2_20220208_054000.wav;0.233534281
Itgo4T2_20220208_212000.wav;0.233556559
Itgo4T2_20220209_225000.wav;0.233557251
Itgo4T2_20220202_233000.wav;0.23359099
Itgo4T2_20220206_221000.wav;0.233613011
Itgo4T2_20220209_185000.wav;0.233639361
Itgo4T2_20220209_053000.wav;0.233641784
Itgo4T2_20220209_010000.wav;0.233646256
Itgo4T2_20220208_010000.wav;0.233656063
Itgo4T2_20220201_052000.wav;0.23365771
Itgo4T2_20220207_213000.wav;0.233674017
Itgo4T2_20220201_024000.wav;0.233685187
Itgo4T2_20220208_180000.wav;0.233708179
Itgo4T2_20220201_051000.wav;0.233714807
Itgo4T2_20220207_201000.wav;0.233716447
Itgo4T2_20220131_005000.wav;0.233721531
Itgo4T2_20220201_193000.wav;0.233727546
Itgo4T2_20220202_034000.wav;0.233737833
Itgo4T2_20220207_042000.wav;0.233738644
Itgo4T2_20220204_215000.wav;0.233758764
Itgo4T2_20220203_001000.wav;0.233769212
Itgo4T2_20220207_200000.wav;0.233777881
Itgo4T2_20220209_212000.wav;0.233787862
Itgo4T2_20220203_205000.wav;0.23379095
Itgo4T2_20220205_224000.wav;0.233799359
Itgo4T2_20220204_022000.wav;0.233828898
Itgo4T2_20220204_024000.wav;0.233829291
Itgo4T2_20220203_183000.wav;0.233830139
Itgo4T2_20220203_200000.wav;0.23383654
Itgo4T2_20220131_040000.wav;0.233894986
Itgo4T2_20220207_044000.wav;0.233914766
Itgo4T2_20220131_010000.wav;0.233921978
Itgo4T2_20220202_235000.wav;0.233924145
Itgo4T2_20220209_230000.wav;0.23393421
Itgo4T2_20220202_040000.wav;0.23394049
Itgo4T2_20220203_204000.wav;0.233940953
Itgo4T2_20220131_021000.wav;0.233943132
Itgo4T2_20220131_023000.wav;0.233958487
Itgo4T2_20220205_001000.wav;0.233969865
Itgo4T2_20220204_021000.wav;0.233972959
Itgo4T2_20220205_010000.wav;0.233983972
Itgo4T2_20220208_050000.wav;0.234005198
Itgo4T2_20220208_002000.wav;0.234031074
